"","symbol"
"1335","NLRX1"
"1336","MEX3D"
"1337","ACAT2"
"1338","C4orf19"
"1339","CCNB1"
"1340","ABAT"
"1341","SFMBT2"
"1342","AKAP8"
"1343","IKZF5"
"1344","CCDC88A"
"1345","MLLT11"
"1346","SIRT6"
"1347","NGFR"
"1348","KIAA0319L"
"1349","FOXO3B"
"1350","ZNHIT2"
"1351","NRIP1"
"1352","AMH"
"1353","SIL1"
"1354","RHOB"
"1355","ELOA"
"1356","FRMD8"
"1357","SNX29"
"1358","ARMC5"
"1359","VEPH1"
"1360","SLC25A22"
"1361","MAPT"
"1362","SMCR8"
"1363","POMZP3"
"1364","RASD1"
"1365","POM121C"
"1366","SPHK1"
"1367","PDLIM5"
"1368","LBH"
"1369","SBDSP1"
"1370","IER2"
